Event,Label,N2O_flux_ug_m2_day,growing_season_N2O_flux_ug_m2_100days,annual_N2O_flux_ug_m2_100days-x-2,permafrost_extent,permafrost_region,ecosystem,veg_type,location_description,country,subregion,site,latitude,longitude,n_meas_seasons,year_start,month_start,day_start,year_end,month_end,day_end,soc_percent_topsoil-carbon-content,sn_percent_topsoil-nitrogen-content,c-to-n_topsoil,nh4_mg_kg_topsoil-ammonium,no3_mg_kg_topsoil-nitrate,pH_topsoil,soil_om_percent,bulk_density_g_cm3_topsoil,soil_moisture_percent,gravimetric_swc_g_g,volumetric_swc_m3_m3,whc_percent,wfps_percent,wfps_calc_percent,mat_degC,actual_airT_degC,actual_soilT_degC,map_mm,mean_thaw_depth_growing_cm,max_thaw_depth,study_type,disturbance,treatment,disturbance_type,n_flux_measurements,replicate_collars,orig_flux_value,orig_flux_unit,method,chamber_type,time_min,max_closure_time_min,points_per_closure,presence_co2_fluxes,presence_ch4_fluxes,published,ref
Ardley_Island_N2O,AN-Ard-2011-01,4.8,480,960,antarctic,Antarctic,Wetland,Vegetated,Western coastal lowland tundra marsh,Antarctica,maritime Antarctica,Ardley Island,-62.22,-58.93,1,2011,12,1,2012,2,21,2.26,0.27,8.4,9.84,15.61,6.5,,,85.8,,,,,100,-2.5,1.6,4.1,630,,,In situ,No,No,none,8,3,0.2,Âµg N2O/m2/h,GC/static,transparent,,20,3,no,yes,yes,Bao T et al. 2018
Ardley_Island_N2O,AN-Ard-2007-01,998.4,99840,199680,antarctic,Antarctic,Wetland,Vegetated,Tundra dry marsh (DM); Mosses and algae dominate the vegetation in the poorly drained tundra areas,Antarctica,maritime Antarctica,Ardley Island,-62.22,-58.93,1,2008,1,21,2008,2,8,22.91,2.23,10.2,131.31,4.23,6,,,24.9,,,,,5.686,-2.2,0.9,,425,,,In situ,Yes,No,Birds,10,3,41.6,Âµg N2O/m2/h,GC/static,transparent,,20,3,yes,yes,yes,Zhu R et al. 2014
Ardley_Island_N2O,AN-Ard-2007-02,52.8,5280,10560,antarctic,Antarctic,Wetland,Vegetated,Tundra mesic marsh (MM); Mosses and algae dominate the vegetation in the poorly drained tundra areas,Antarctica,maritime Antarctica,Ardley Island,-62.22,-58.93,1,2008,1,21,2008,2,8,25.5,1.96,13.2,89.3,4.03,6,,,45.23,,,,,12.055,-2.2,0.9,,425,,,In situ,Yes,No,Birds,10,3,2.2,Âµg N2O/m2/h,GC/static,transparent,,20,3,yes,yes,yes,Zhu R et al. 2014
Ardley_Island_N2O,AN-Ard-2007-03,56.4,5640,11280,antarctic,Antarctic,Upland,Vegetated,Upland tundra with lichens and mosses (UT); mosses (Bryum Pseudotriquetrum and Bryum muelthenbeckii) and lichens (Usnea sp.),Antarctica,maritime Antarctica,Ardley Island,-62.05,-58.25,1,2007,11,25,2008,2,8,1.17,0.1,12,1.2,0.51,6.6,,,17.6,,,,,49.274,-2.2,0.9,,425,,,In situ,No,No,none,12,3,2.35,Âµg N2O/m2/h,GC/static,transparent,,20,3,yes,yes,yes,Zhu R et al. 2014
Ardley_Island_N2O,AN-Ard-2007-04,-72,-7200,-14400,antarctic,Antarctic,Wetland,Vegetated,Tundra waterlogged marsh (WM); Mosses and algae dominate the vegetation in the poorly drained tundra areas.,Antarctica,maritime Antarctica,Ardley Island,-62.22,-58.93,1,2008,1,21,2008,2,8,22.77,2.09,12,175.05,3.73,5.9,,,90,,,,100,100,-2.2,0.9,,425,,,In situ,Yes,No,Birds,10,3,-3,Âµg N2O/m2/h,GC/static,transparent,,20,3,yes,yes,yes,Zhu R et al. 2014
Ardley_Island_N2O,AN-Ard-2011-07,267.6,26760,53520,antarctic,Antarctic,Upland,Vegetated,Upland tundra with lichens and mosses (UT); mosses (Bryum Pseudotriquetrum and Bryum muelthenbeckii) and lichens (Usnea sp.),Antarctica,maritime Antarctica,Ardley Island,-62.05,-58.25,1,2012,1,16,2012,2,8,1.17,0.1,12,1.2,0.51,6.6,,,17.6,,,,,49.274,-2.2,1.7,,425,,,In situ,No,No,none,9,3,11.15,Âµg N2O/m2/h,GC/static,transparent,,20,3,yes,yes,yes,Zhu R et al. 2014
Ardley_Island_N2O,AN-Ard-2011-08,-646.8,-64680,-129360,antarctic,Antarctic,Wetland,Vegetated,Tundra waterlogged marsh (WM); Mosses and algae dominate the vegetation in the poorly drained tundra areas.,Antarctica,maritime Antarctica,Ardley Island,-62.22,-58.93,1,2011,12,24,2012,2,5,22.77,2.09,12,175.05,3.73,5.9,,,90,,,,100,100,-2.2,1.7,,425,,,In situ,Yes,No,Birds,8,3,-26.95,Âµg N2O/m2/h,GC/static,transparent,,20,3,yes,yes,yes,Zhu R et al. 2014
Ardley_Island_N2O,AN-Ard-2011-02,292.8,29280,58560,antarctic,Antarctic,Wetland,Vegetated,Western coastal lowland tundra marsh,Antarctica,maritime Antarctica,Ardley Island,-62.22,-58.93,1,2011,12,1,2012,2,21,2.24,0.23,9.7,8.97,31.92,6.7,,,81,,,,,100,-2.5,1.6,4.1,630,,,In situ,Yes,Yes,Light reduction,8,3,12.2,Âµg N2O/m2/h,GC/static,semi-transparent,,20,3,no,yes,yes,Bao T et al. 2018
Ardley_Island_N2O,AN-Ard-2011-03,580.8,58080,116160,antarctic,Antarctic,Wetland,Vegetated,Western coastal lowland tundra marsh,Antarctica,maritime Antarctica,Ardley Island,-62.22,-58.93,1,2011,12,1,2012,2,21,1.86,0.24,7.8,7.47,13.26,6.7,,,84.8,,,,,100,-2.5,1.6,4.1,630,,,In situ,Yes,Yes,Light reduction,8,3,24.2,Âµg N2O/m2/h,GC/static,semi-transparent,,20,3,no,yes,yes,Bao T et al. 2018
Ardley_Island_N2O,AN-Ard-2011-04,-76.8,-7680,-15360,antarctic,Antarctic,Wetland,Vegetated,Eastern  coastal lowland tundra with penguin nesting sites,Antarctica,maritime Antarctica,Ardley Island,-62.22,-58.92,1,2011,12,1,2012,2,21,16.56,2.05,8.1,43.62,74.89,5.2,,,83.8,,,,,24.012,-2.5,1.6,4.1,630,,,In situ,Yes,No,Birds,8,3,-3.2,Âµg N2O/m2/h,GC/static,transparent,,20,3,no,yes,yes,Bao T et al. 2018
