dt,dataset,N2O_ppb,d15Nbulk_permil,d18O_permil,SP_permil,sd_N2O_ppb,sd_d15Nbulk_permil,sd_d18O_permil,sd_SP_permil,CO_ppb,CH4_ppb,CO2_ppm
1939.8,Park_Firn,288.9,9.069883893020602,45.34,17.17284395418875,,0.15,0.25,1.2,,,
1955.0,Park_Firn,292.2,8.729883893020602,45.09,19.982843954188752,,0.11,0.18,0.85,,,
1956.5,Park_Firn,291.5,9.019883893020602,45.01,16.832843954188746,,0.15,0.25,1.2,,,
1964.5,Park_Firn,293.7,9.029883893020601,45.0,16.612843954188747,,0.11,0.18,0.85,,,
1970.8,Park_Firn,295.5,8.519883893020602,44.62,19.56284395418875,,0.15,0.24,1.2,,,
1983.8,Park_Firn,303.4,8.019883893020602,44.33,16.45284395418875,,0.15,0.24,1.2,,,
1986.3,Park_Firn,307.7,7.929883893020602,44.39,19.652843954188747,,0.15,0.24,1.2,,,
1990.0,Park_Firn,307.6,8.0798838930206,44.49,18.16284395418875,,0.15,0.25,1.2,,,
1991.0,Park_Firn,309.1,7.669883893020601,43.81,16.042843954188747,,0.15,0.24,1.2,,,
1994.6,Park_Firn,310.9,7.329883893020601,44.26,20.552843954188752,,0.15,0.24,1.2,,,
1995.0,Park_Firn,311.7,7.409883893020601,44.16,16.34284395418875,,0.15,0.24,1.2,,,
1979.0564516129032,Park_Archive,299.4,8.286122377439403,45.05,18.17657891105799,,0.15,0.24,1.2,,,
1978.6935483870968,Park_Archive,299.7,8.376122377439403,44.63,15.78657891105799,,0.11,0.17,1.2,,,
1979.244623655914,Park_Archive,303.1,8.116122377439403,44.36,17.99657891105799,,0.15,0.24,0.85,,,
1984.6129032258063,Park_Archive,303.9,8.076122377439402,45.01,15.25657891105799,,0.15,0.24,1.2,,,
1985.0430107526881,Park_Archive,303.8,8.166122377439404,44.89,19.12657891105799,,0.15,0.24,1.2,,,
1986.244623655914,Park_Archive,304.9,7.836122377439403,44.53,18.26657891105799,,0.11,0.17,0.85,,,
1987.1881720430106,Park_Archive,304.9,8.086122377439404,44.95,15.75657891105799,,0.15,0.24,1.2,,,
1987.225806451613,Park_Archive,305.5,7.696122377439402,44.53,21.02657891105799,,0.15,0.24,1.2,,,
1988.2043010752686,Park_Archive,305.8,7.736122377439402,44.79,19.19657891105799,,0.15,0.24,1.2,,,
1989.9139784946235,Park_Archive,307.7,7.8561223774394024,44.15,21.19657891105799,,0.15,0.24,1.2,,,
1990.0591397849462,Park_Archive,308.1,7.4761223774394026,44.24,18.296578911057992,,0.15,0.24,1.2,,,
1990.5672043010752,Park_Archive,308.2,7.866122377439402,44.58,19.96657891105799,,0.15,0.24,1.2,,,
1991.0564516129032,Park_Archive,308.1,7.8561223774394024,44.36,17.24657891105799,,0.15,0.24,1.2,,,
1991.284946236559,Park_Archive,308.8,7.6861223774394025,44.19,14.23657891105799,,0.15,0.24,1.2,,,
1991.9516129032259,Park_Archive,309.4,7.866122377439402,44.84,19.50657891105799,,0.15,0.24,1.2,,,
1992.715053763441,Park_Archive,309.7,7.806122377439403,44.25,19.01657891105799,,0.15,0.24,1.2,,,
1993.3763440860216,Park_Archive,310.2,7.556122377439403,44.21,17.706578911057992,,0.16,0.24,1.2,,,
1994.3198924731184,Park_Archive,309.8,7.506122377439403,44.68,18.81657891105799,,0.15,0.24,1.2,,,
1994.4059139784945,Park_Archive,310.5,7.8961223774394025,44.92,20.42657891105799,,0.15,0.24,1.2,,,
1995.5537634408604,Park_Archive,310.8,7.636122377439403,44.49,16.48657891105799,,0.08,0.12,0.6,,,
1995.8037634408604,Park_Archive,311.0,7.766122377439403,44.5,20.60657891105799,,0.15,0.24,1.2,,,
1996.013440860215,Park_Archive,311.7,7.526122377439402,44.8,16.65657891105799,,0.15,0.24,1.2,,,
1997.2043010752686,Park_Archive,311.6,7.6061223774394024,44.57,17.60657891105799,,0.15,0.24,1.2,,,
1996.8145161290322,Park_Archive,312.3,7.876122377439403,44.25,20.71657891105799,,0.15,0.24,1.2,,,
1997.4462365591396,Park_Archive,312.7,7.526122377439402,44.22,17.366578911057992,,0.15,0.24,1.2,,,
