site_gaw_id,year,month,day,hour,minute,second,year,month,day,hour,minute,second,value,value_unc,nvalue,latitude,longitude,altitude,elevation,intake_height,flask_no,ORG_QCflag,QCflag,instrument,measurement_method,scale
CGO,1981,12,1,0,0,0,-999,-9,-9,-9,-9,-9,302.472,0.32,276,-40.68,144.69,-999.999,94,-999.999,-999.999,-999.999,1,1,1,17
CGO,1982,1,1,0,0,0,-999,-9,-9,-9,-9,-9,302.57,0.355,254,-40.68,144.69,-999.999,94,-999.999,-999.999,-999.999,1,1,1,17
CGO,1982,2,1,0,0,0,-999,-9,-9,-9,-9,-9,302.513,0.37,310,-40.68,144.69,-999.999,94,-999.999,-999.999,-999.999,1,1,1,17
CGO,1982,3,1,0,0,0,-999,-9,-9,-9,-9,-9,302.34,0.587,260,-40.68,144.69,-999.999,94,-999.999,-999.999,-999.999,1,1,1,17
CGO,1982,4,1,0,0,0,-999,-9,-9,-9,-9,-9,302.358,0.796,299,-40.68,144.69,-999.999,94,-999.999,-999.999,-999.999,1,1,1,17
CGO,1982,5,1,0,0,0,-999,-9,-9,-9,-9,-9,303.017,0.477,327,-40.68,144.69,-999.999,94,-999.999,-999.999,-999.999,1,1,1,17
CGO,1982,6,1,0,0,0,-999,-9,-9,-9,-9,-9,302.974,0.59,307,-40.68,144.69,-999.999,94,-999.999,-999.999,-999.999,1,1,1,17
CGO,1982,7,1,0,0,0,-999,-9,-9,-9,-9,-9,303.054,0.438,321,-40.68,144.69,-999.999,94,-999.999,-999.999,-999.999,1,1,1,17
CGO,1982,8,1,0,0,0,-999,-9,-9,-9,-9,-9,303.155,0.378,255,-40.68,144.69,-999.999,94,-999.999,-999.999,-999.999,1,1,1,17
CGO,1982,9,1,0,0,0,-999,-9,-9,-9,-9,-9,302.577,0.855,218,-40.68,144.69,-999.999,94,-999.999,-999.999,-999.999,1,1,1,17
CGO,1982,10,1,0,0,0,-999,-9,-9,-9,-9,-9,302.365,0.801,356,-40.68,144.69,-999.999,94,-999.999,-999.999,-999.999,1,1,1,17
CGO,1982,11,1,0,0,0,-999,-9,-9,-9,-9,-9,302.431,0.826,295,-40.68,144.69,-999.999,94,-999.999,-999.999,-999.999,1,1,1,17
CGO,1982,12,1,0,0,0,-999,-9,-9,-9,-9,-9,302.541,0.878,359,-40.68,144.69,-999.999,94,-999.999,-999.999,-999.999,1,1,1,17
CGO,1983,1,1,0,0,0,-999,-9,-9,-9,-9,-9,302.609,1.007,361,-40.68,144.69,-999.999,94,-999.999,-999.999,-999.999,1,1,1,17
CGO,1983,2,1,0,0,0,-999,-9,-9,-9,-9,-9,302.683,1.003,252,-40.68,144.69,-999.999,94,-999.999,-999.999,-999.999,1,1,1,17
CGO,1983,3,1,0,0,0,-999,-9,-9,-9,-9,-9,303.011,0.869,356,-40.68,144.69,-999.999,94,-999.999,-999.999,-999.999,1,1,1,17
CGO,1983,4,1,0,0,0,-999,-9,-9,-9,-9,-9,303.013,0.781,346,-40.68,144.69,-999.999,94,-999.999,-999.999,-999.999,1,1,1,17
