Age,Name,Archive,N2O_ppb,sd_N2O_ppb,d15Nbulk_permil,sd_d15Nbulk_permil,SP_permil,sd_SP_permil,d18O_permil,sd_d18O_permil
1975,Berkner,firn air,297.5,0.5,8.1,0.1,17.6,0.3,45.1,0.1
1979,Berkner,firn air,299.3,0.5,7.9,0.1,17.3,0.3,45.0,0.1
1982,Berkner,firn air,302.1,0.5,7.8,0.1,17.9,0.3,44.8,0.1
1986,Berkner,firn air,304.5,0.5,7.6,0.1,17.3,0.3,44.8,0.1
1990,Berkner,firn air,307.4,0.5,7.5,0.1,16.7,0.3,44.8,0.1
1993,Berkner,firn air,309.2,0.5,7.4,0.1,19.0,0.3,44.7,0.1
1997,Berkner,firn air,312.1,0.5,7.2,0.1,19.3,0.3,44.7,0.1
1999,Berkner,firn air,313.5,0.5,7.1,0.1,17.8,0.3,44.6,0.1
2000,Berkner,firn air,314.4,0.5,7.1,0.1,17.9,0.3,44.5,0.1
2002,Berkner,firn air,316.1,0.5,7.0,0.1,18.5,0.3,44.6,0.1
2003,Berkner,firn air,316.4,0.5,7.0,0.1,17.9,0.3,44.5,0.1
2003,Berkner,firn air,316.5,0.5,6.9,0.1,17.6,0.3,44.5,0.1
2003,Berkner,firn air,316.3,0.5,6.9,0.1,18.2,0.3,44.5,0.1
1975,DF,firn air,297.0,1.5,8.2,0.1,,,45.2,0.2
1982,DF,firn air,301.6,1.5,7.9,0.1,,,44.8,0.2
1984,DF,firn air,303.2,1.5,7.7,0.1,,,44.7,0.2
1986,DF,firn air,305.1,1.5,7.6,0.1,,,44.9,0.2
1987,DF,firn air,304.9,1.5,7.6,0.1,,,44.9,0.2
1988,DF,firn air,305.9,1.5,7.6,0.1,,,44.9,0.2
1990,DF,firn air,307.0,1.5,7.3,0.1,,,44.7,0.2
1991,DF,firn air,307.9,1.5,7.6,0.1,,,44.9,0.2
1993,DF,firn air,309.3,1.5,7.4,0.1,,,44.7,0.2
1994,DF,firn air,310.2,1.5,7.3,0.1,,,44.6,0.2
1995,DF,firn air,311.5,1.5,7.3,0.1,,,44.5,0.2
1997,DF,firn air,312.3,1.5,7.1,0.1,,,44.7,0.2
1997,DF,firn air,312.7,1.5,7.1,0.1,,,44.7,0.2
1998,DF,firn air,313.3,1.5,7.2,0.1,,,44.4,0.2
1999,DF,firn air,314.4,1.5,7.1,0.1,,,44.5,0.2
1971,DML,firn air,293.2,0.1,8.3,0.1,18.2,0.2,45.0,0.1
1984,DML,firn air,302.7,0.2,7.6,0.2,18.3,0.5,44.7,0.3
1988,DML,firn air,305.7,0.1,7.4,0.1,17.8,0.3,44.6,0.2
1989,DML,firn air,307.0,0.1,7.3,0.1,18.3,0.3,44.4,0.1
1990,DML,firn air,307.3,0.1,7.4,0.2,18.1,0.3,44.6,0.1
1991,DML,firn air,308.2,0.2,7.4,0.1,18.1,0.3,44.4,0.3
1991,DML,firn air,308.3,0.1,7.4,0.1,17.9,0.4,44.6,0.1
1992,DML,firn air,308.4,0.2,7.3,0.1,18.2,0.6,44.6,0.2
1993,DML,firn air,309.0,0.1,7.4,0.1,,,44.7,0.2
1994,DML,firn air,309.9,0.1,7.3,0.1,,,44.6,0.1
1995,DML,firn air,310.1,0.1,7.3,0.1,17.6,0.3,44.6,0.2
1996,DML,firn air,310.4,0.1,7.2,0.1,17.7,0.3,44.6,0.2
1997,DML,firn air,311.3,0.1,7.2,0.1,17.6,0.4,44.8,0.2
1998,DML,firn air,312.1,0.1,7.2,0.2,18.2,0.5,44.7,0.3
1998,DML,firn air,312.7,0.2,7.1,0.1,18.0,0.3,44.3,0.2
1998,DML,firn air,312.4,0.1,,,,,,
1975,DomeC,firn air,298.0,0.1,8.1,0.0,18.3,0.2,45.2,0.1
1977,DomeC,firn air,298.0,0.0,,,,,,
1980,DomeC,firn air,301.4,0.0,7.9,0.1,17.9,0.2,45.1,0.1
1982,DomeC,firn air,303.1,0.1,7.8,0.0,18.3,0.2,44.8,0.1
1985,DomeC,firn air,304.2,0.0,7.6,0.1,18.4,0.3,45.0,0.1
1988,DomeC,firn air,305.7,0.2,7.5,0.1,18.1,0.2,44.9,0.1
1990,DomeC,firn air,307.1,0.0,7.6,0.0,17.8,0.3,45.1,0.1
1991,DomeC,firn air,307.8,0.1,7.5,0.1,17.9,0.2,44.8,0.1
1993,DomeC,firn air,309.6,0.2,7.3,0.1,18.0,0.2,44.7,0.1
1994,DomeC,firn air,310.0,0.1,7.4,0.1,18.0,0.2,44.6,0.1
1996,DomeC,firn air,311.1,0.2,7.3,0.0,17.7,0.4,44.6,0.0
1997,DomeC,firn air,312.3,0.2,7.2,0.0,17.9,0.3,44.6,0.1
1998,DomeC,firn air,312.8,0.0,7.0,0.1,18.0,0.4,44.6,0.2
1999,DomeC,firn air,313.4,0.3,7.2,0.1,18.1,0.2,44.5,0.2
1958,DSSW19K,firn air,292.5,1.5,8.6,0.6,21.3,0.9,45.5,1.0
1970,DSSW19K,firn air,294.0,1.5,8.6,0.6,17.9,0.9,45.2,1.0
1990,DSSW19K,firn air,307.6,1.5,7.6,0.6,21.0,1.2,44.6,1.0
1935,DSSW20K,firn air,289.2,1.5,8.7,0.4,18.5,1.2,45.6,1.0
1954,DSSW20K,firn air,291.8,1.5,8.7,0.4,18.2,1.2,45.2,1.0
1971,DSSW20K,firn air,295.6,1.5,8.2,0.4,20.9,1.2,44.8,1.0
1983,DSSW20K,firn air,303.7,1.5,7.7,0.4,17.8,1.2,44.6,1.0
1991,DSSW20K,firn air,307.8,1.5,7.8,0.4,19.5,1.2,44.7,1.0
