Date,Site,N2O_ppb,sd_N2O_ppb
2005-01-01,JFJ,-999999.99,-999.99
2005-01-02,JFJ,-999999.99,-999.99
2005-01-03,JFJ,-999999.99,-999.99
2005-01-04,JFJ,-999999.99,-999.99
2005-01-05,JFJ,-999999.99,-999.99
2005-01-06,JFJ,-999999.99,-999.99
2005-01-07,JFJ,-999999.99,-999.99
2005-01-08,JFJ,-999999.99,-999.99
2005-01-09,JFJ,-999999.99,-999.99
2005-01-10,JFJ,-999999.99,-999.99
2005-01-11,JFJ,-999999.99,-999.99
2005-01-12,JFJ,-999999.99,-999.99
2005-01-13,JFJ,-999999.99,-999.99
2005-01-14,JFJ,-999999.99,-999.99
2005-01-15,JFJ,-999999.99,-999.99
2005-01-16,JFJ,-999999.99,-999.99
2005-01-17,JFJ,-999999.99,-999.99
2005-01-18,JFJ,-999999.99,-999.99
2005-01-19,JFJ,-999999.99,-999.99
2005-01-20,JFJ,-999999.99,-999.99
2005-01-21,JFJ,-999999.99,-999.99
2005-01-22,JFJ,-999999.99,-999.99
2005-01-23,JFJ,-999999.99,-999.99
2005-01-24,JFJ,-999999.99,-999.99
2005-01-25,JFJ,-999999.99,-999.99
2005-01-26,JFJ,-999999.99,-999.99
2005-01-27,JFJ,-999999.99,-999.99
2005-01-28,JFJ,-999999.99,-999.99
2005-01-29,JFJ,-999999.99,-999.99
2005-01-30,JFJ,-999999.99,-999.99
2005-01-31,JFJ,-999999.99,-999.99
2005-02-01,JFJ,-999999.99,-999.99
2005-02-02,JFJ,-999999.99,-999.99
2005-02-03,JFJ,-999999.99,-999.99
2005-02-04,JFJ,317.92,0.51
2005-02-05,JFJ,317.92,0.54
2005-02-06,JFJ,318.07,0.46
2005-02-07,JFJ,318.06,0.64
2005-02-08,JFJ,318.01,0.55
2005-02-09,JFJ,318.34,0.51
2005-02-10,JFJ,318.07,0.72
2005-02-11,JFJ,318.3,0.82
2005-02-12,JFJ,318.36,2.12
2005-02-13,JFJ,317.95,1.44
2005-02-14,JFJ,318.39,0.93
2005-02-15,JFJ,319.13,0.88
2005-02-16,JFJ,318.88,1.2
2005-02-17,JFJ,318.71,0.66
2005-02-18,JFJ,318.11,0.81
2005-02-19,JFJ,318.7,0.84
2005-02-20,JFJ,318.73,0.87
2005-02-21,JFJ,318.76,0.92
2005-02-22,JFJ,319.37,0.8
2005-02-23,JFJ,319,0.8
2005-02-24,JFJ,319.32,1.32
2005-02-25,JFJ,319.33,0.69
2005-02-26,JFJ,318.88,1.15
2005-02-27,JFJ,319.23,1.47
2005-02-28,JFJ,319.51,1.32
2005-03-01,JFJ,318.13,0.85
2005-03-02,JFJ,318.08,0.64
2005-03-03,JFJ,318.5,0.68
2005-03-04,JFJ,318.48,0.48
2005-03-05,JFJ,318.71,0.84
2005-03-06,JFJ,319.1,1.03
2005-03-07,JFJ,318.48,0.53
2005-03-08,JFJ,318.25,0.82
2005-03-09,JFJ,318.26,0.67
2005-03-10,JFJ,318.23,0.47
2005-03-11,JFJ,317.95,0.83
2005-03-12,JFJ,317.98,1.53
2005-03-13,JFJ,318.3,0.98
2005-03-14,JFJ,318.01,0.98
2005-03-15,JFJ,318.21,0.7
2005-03-16,JFJ,318.2,1.15
2005-03-17,JFJ,318.12,0.8
2005-03-18,JFJ,318.38,0.74
2005-03-19,JFJ,318.23,0.6
2005-03-20,JFJ,318.19,0.69
2005-03-21,JFJ,318.31,0.55
2005-03-22,JFJ,318.37,1.06
2005-03-23,JFJ,318.36,0.69
2005-03-24,JFJ,318.73,0.94
2005-03-25,JFJ,318.33,0.75
2005-03-26,JFJ,320.14,1.51
2005-03-27,JFJ,319.62,1.35
2005-03-28,JFJ,318.38,0.99
2005-03-29,JFJ,318.49,0.55
2005-03-30,JFJ,318.48,0.6
2005-03-31,JFJ,318.65,0.54
2005-04-01,JFJ,318.54,0.63
2005-04-02,JFJ,318.3,0.9
2005-04-03,JFJ,318.07,0.68
2005-04-04,JFJ,318.19,0.76
2005-04-05,JFJ,318.66,0.75
2005-04-06,JFJ,318.55,0.71
2005-04-07,JFJ,319.48,1.92
2005-04-08,JFJ,319.96,0.75
2005-04-09,JFJ,319.07,1.11
2005-04-10,JFJ,318.96,0.72
2005-04-11,JFJ,318.73,0.94
2005-04-12,JFJ,318.36,0.42
2005-04-13,JFJ,318.73,0.7
2005-04-14,JFJ,319.11,0.66
2005-04-15,JFJ,319.53,0.76
2005-04-16,JFJ,318.71,0.88
2005-04-17,JFJ,319.75,1.26
2005-04-18,JFJ,318.97,0.98
2005-04-19,JFJ,318.91,1.3
2005-04-20,JFJ,318.6,0.52
2005-04-21,JFJ,318.62,1.03
2005-04-22,JFJ,318.13,0.77
2005-04-23,JFJ,318.03,0.85
2005-04-24,JFJ,319.4,1.25
2005-04-25,JFJ,318.94,0.91
2005-04-26,JFJ,318.41,1
2005-04-27,JFJ,318.64,0.71
2005-04-28,JFJ,318.42,0.66
2005-04-29,JFJ,318.58,0.6
2005-04-30,JFJ,318.33,0.6
2005-05-01,JFJ,318.51,0.63
2005-05-02,JFJ,318.7,0.85
2005-05-03,JFJ,320.11,0.79
2005-05-04,JFJ,-999999.99,-999.99
2005-05-05,JFJ,-999999.99,-999.99
2005-05-06,JFJ,-999999.99,-999.99
2005-05-07,JFJ,-999999.99,-999.99
2005-05-08,JFJ,-999999.99,-999.99
2005-05-09,JFJ,-999999.99,-999.99
2005-05-10,JFJ,318.74,0.61
2005-05-11,JFJ,318.23,0.87
2005-05-12,JFJ,318.98,0.72
2005-05-13,JFJ,318.49,1.01
2005-05-14,JFJ,318.77,0.98
2005-05-15,JFJ,318.5,0.58
2005-05-16,JFJ,319.11,0.77
2005-05-17,JFJ,318.91,0.53
2005-05-18,JFJ,319.29,0.97
2005-05-19,JFJ,318.32,0.67
2005-05-20,JFJ,318.43,0.76
2005-05-21,JFJ,319,1.02
2005-05-22,JFJ,319.59,0.89
2005-05-23,JFJ,319.11,0.7
2005-05-24,JFJ,318.33,0.66
2005-05-25,JFJ,318.46,0.62
2005-05-26,JFJ,318.49,0.79
2005-05-27,JFJ,318.9,0.68
2005-05-28,JFJ,319.49,0.76
2005-05-29,JFJ,319.05,0.72
2005-05-30,JFJ,319.17,1.05
2005-05-31,JFJ,318.06,0.75
2005-06-01,JFJ,318.22,0.85
2005-06-02,JFJ,318.44,0.65
2005-06-03,JFJ,318.35,0.82
2005-06-04,JFJ,318.33,0.81
2005-06-05,JFJ,317.83,0.68
2005-06-06,JFJ,318.27,0.7
2005-06-07,JFJ,318.4,0.81
2005-06-08,JFJ,317.67,0.7
2005-06-09,JFJ,317.74,0.81
2005-06-10,JFJ,317.93,0.89
2005-06-11,JFJ,318.08,0.76
2005-06-12,JFJ,318.22,0.78
2005-06-13,JFJ,318.27,0.76
2005-06-14,JFJ,318.99,0.96
2005-06-15,JFJ,318.64,0.65
2005-06-16,JFJ,318.31,0.81
2005-06-17,JFJ,318.07,1.05
2005-06-18,JFJ,318.16,0.62
2005-06-19,JFJ,318.38,0.78
2005-06-20,JFJ,318.31,0.77
2005-06-21,JFJ,318.25,0.71
2005-06-22,JFJ,318.46,0.69
2005-06-23,JFJ,318.76,0.79
2005-06-24,JFJ,318.73,0.93
2005-06-25,JFJ,318.32,0.56
2005-06-26,JFJ,318.28,0.69
2005-06-27,JFJ,318.07,0.87
2005-06-28,JFJ,318.56,0.62
2005-06-29,JFJ,318.17,0.96
2005-06-30,JFJ,318.3,0.72
2005-07-01,JFJ,318.35,0.89
2005-07-02,JFJ,318.28,0.64
2005-07-03,JFJ,318.32,0.58
2005-07-04,JFJ,318.58,0.75
2005-07-05,JFJ,318,0.94
2005-07-06,JFJ,317.92,0.97
2005-07-07,JFJ,318.11,0.93
2005-07-08,JFJ,318.43,0.89
2005-07-09,JFJ,318.61,0.68
2005-07-10,JFJ,318.73,0.74
2005-07-11,JFJ,318.26,0.94
2005-07-12,JFJ,318.51,0.7
2005-07-13,JFJ,318.42,0.71
2005-07-14,JFJ,318.21,0.63
2005-07-15,JFJ,318.14,0.61
2005-07-16,JFJ,318.42,0.56
2005-07-17,JFJ,-999999.99,-999.99
2005-07-18,JFJ,318.6,1.33
2005-07-19,JFJ,317.74,0.85
2005-07-20,JFJ,317.23,0.68
2005-07-21,JFJ,318.1,0.66
2005-07-22,JFJ,318.09,0.67
2005-07-23,JFJ,318.11,0.65
2005-07-24,JFJ,318.12,0.86
2005-07-25,JFJ,318.46,0.94
2005-07-26,JFJ,318.79,0.86
2005-07-27,JFJ,318.77,0.79
2005-07-28,JFJ,319.26,1.11
2005-07-29,JFJ,319.51,1.41
2005-07-30,JFJ,319.03,0.89
2005-07-31,JFJ,318.54,0.64
2005-08-01,JFJ,319.02,1.01
2005-08-02,JFJ,319.05,0.88
2005-08-03,JFJ,319.95,1.2
2005-08-04,JFJ,318.99,0.79
2005-08-05,JFJ,318.3,0.73
2005-08-06,JFJ,318.76,0.91
2005-08-07,JFJ,319.04,0.74
2005-08-08,JFJ,318.72,0.79
2005-08-09,JFJ,318.92,0.73
2005-08-10,JFJ,318.12,-999.99
2005-08-11,JFJ,319.04,0.7
2005-08-12,JFJ,318.65,0.79
2005-08-13,JFJ,319.08,0.74
2005-08-14,JFJ,318.72,1.03
2005-08-15,JFJ,319.5,1.27
2005-08-16,JFJ,319.06,0.9
2005-08-17,JFJ,319.05,0.74
2005-08-18,JFJ,319.04,0.87
2005-08-19,JFJ,319.29,0.93
2005-08-20,JFJ,318.76,0.69
2005-08-21,JFJ,320.03,1.38
2005-08-22,JFJ,320.72,1.47
2005-08-23,JFJ,-999999.99,-999.99
2005-08-24,JFJ,318.92,1.06
2005-08-25,JFJ,319.24,1.18
2005-08-26,JFJ,318.48,1.36
2005-08-27,JFJ,318.18,0.73
2005-08-28,JFJ,318.96,0.57
2005-08-29,JFJ,318.94,0.73
2005-08-30,JFJ,319.15,0.8
2005-08-31,JFJ,319.51,0.98
2005-09-01,JFJ,319.63,0.84
2005-09-02,JFJ,319.15,0.67
2005-09-03,JFJ,319.14,0.8
2005-09-04,JFJ,319.22,0.75
2005-09-05,JFJ,319.13,0.89
2005-09-06,JFJ,319.87,0.99
2005-09-07,JFJ,319.79,1.11
2005-09-08,JFJ,318.89,1.05
2005-09-09,JFJ,319.05,0.89
2005-09-10,JFJ,319.58,0.86
2005-09-11,JFJ,318.86,0.73
2005-09-12,JFJ,318.87,0.72
2005-09-13,JFJ,319.21,1.15
2005-09-14,JFJ,319.55,0.89
2005-09-15,JFJ,318.98,0.89
2005-09-16,JFJ,319.38,0.9
2005-09-17,JFJ,319.57,0.77
2005-09-18,JFJ,319.45,0.87
2005-09-19,JFJ,319.93,0.83
2005-09-20,JFJ,319.44,0.9
2005-09-21,JFJ,319.56,0.85
2005-09-22,JFJ,320.12,0.92
2005-09-23,JFJ,319.68,0.8
2005-09-24,JFJ,319.82,0.96
2005-09-25,JFJ,319.58,0.97
2005-09-26,JFJ,320.1,0.75
2005-09-27,JFJ,319.74,1.52
2005-09-28,JFJ,319.42,0.67
2005-09-29,JFJ,319.41,0.59
2005-09-30,JFJ,319.18,0.62
2005-10-01,JFJ,319.31,0.55
2005-10-02,JFJ,319.25,0.64
2005-10-03,JFJ,319.41,0.67
2005-10-04,JFJ,319.21,0.86
2005-10-05,JFJ,319.6,0.95
2005-10-06,JFJ,319.58,0.76
2005-10-07,JFJ,319.77,0.7
2005-10-08,JFJ,319.45,0.62
2005-10-09,JFJ,319.56,0.59
2005-10-10,JFJ,319.39,0.61
2005-10-11,JFJ,319.5,0.58
2005-10-12,JFJ,319.24,0.78
2005-10-13,JFJ,319.55,0.7
2005-10-14,JFJ,319.09,0.72
2005-10-15,JFJ,319.24,0.55
2005-10-16,JFJ,319.38,0.65
2005-10-17,JFJ,319.55,0.65
2005-10-18,JFJ,319.41,0.46
2005-10-19,JFJ,319.8,0.65
2005-10-20,JFJ,319.37,0.6
2005-10-21,JFJ,319.44,0.72
2005-10-22,JFJ,319.88,0.75
2005-10-23,JFJ,319.81,0.92
2005-10-24,JFJ,319.43,0.56
2005-10-25,JFJ,319.45,0.63
2005-10-26,JFJ,-999999.99,-999.99
2005-10-27,JFJ,-999999.99,-999.99
2005-10-28,JFJ,319.51,0.69
2005-10-29,JFJ,319.56,0.58
2005-10-30,JFJ,319.67,0.54
2005-10-31,JFJ,319.55,0.7
2005-11-01,JFJ,319.8,0.63
2005-11-02,JFJ,319.78,0.75
2005-11-03,JFJ,319.69,0.75
2005-11-04,JFJ,319.94,0.69
2005-11-05,JFJ,320.56,0.64
2005-11-06,JFJ,-999999.99,-999.99
2005-11-07,JFJ,319.51,0.35
2005-11-08,JFJ,319.64,0.58
2005-11-09,JFJ,319.84,0.22
2005-11-10,JFJ,319.62,1.24
2005-11-11,JFJ,-999999.99,-999.99
2005-11-12,JFJ,-999999.99,-999.99
2005-11-13,JFJ,-999999.99,-999.99
2005-11-14,JFJ,-999999.99,-999.99
2005-11-15,JFJ,-999999.99,-999.99
2005-11-16,JFJ,320.15,0.67
2005-11-17,JFJ,319.87,0.44
2005-11-18,JFJ,320.12,0.57
2005-11-19,JFJ,320.23,0.66
2005-11-20,JFJ,320.32,0.59
2005-11-21,JFJ,320.58,0.69
2005-11-22,JFJ,320.28,0.94
2005-11-23,JFJ,321.02,2.19
2005-11-24,JFJ,320.55,0.89
2005-11-25,JFJ,320.68,0.78
2005-11-26,JFJ,320.19,0.57
2005-11-27,JFJ,320.36,0.45
2005-11-28,JFJ,320.9,0.51
2005-11-29,JFJ,320.65,0.51
2005-11-30,JFJ,320.4,0.39
2005-12-01,JFJ,320.16,0.53
2005-12-02,JFJ,320.46,0.86
2005-12-03,JFJ,320.65,0.82
2005-12-04,JFJ,320.37,1.14
2005-12-05,JFJ,320.59,0.42
2005-12-06,JFJ,320.43,0.38
2005-12-07,JFJ,320.53,0.63
2005-12-08,JFJ,320.37,0.62
2005-12-09,JFJ,320.38,0.69
2005-12-10,JFJ,320.16,0.82
2005-12-11,JFJ,320.08,1.32
2005-12-12,JFJ,320.21,0.6
2005-12-13,JFJ,320.31,0.57
2005-12-14,JFJ,320.08,0.45
2005-12-15,JFJ,320,0.4
2005-12-16,JFJ,320.22,1
2005-12-17,JFJ,320.48,1.03
2005-12-18,JFJ,320.22,0.83
2005-12-19,JFJ,320.22,0.4
2005-12-20,JFJ,320.33,0.42
2005-12-21,JFJ,320.1,0.4
2005-12-22,JFJ,320.19,0.67
2005-12-23,JFJ,320.03,0.9
2005-12-24,JFJ,320.12,0.52
2005-12-25,JFJ,320.12,0.63
2005-12-26,JFJ,320.13,0.46
2005-12-27,JFJ,320.62,0.78
2005-12-28,JFJ,320.71,0.74
2005-12-29,JFJ,320.26,0.56
2005-12-30,JFJ,320.46,1.26
2005-12-31,JFJ,320.41,0.96
2006-01-01,JFJ,320.13,0.52
2006-01-02,JFJ,320.23,0.99
2006-01-03,JFJ,319.99,0.87
2006-01-04,JFJ,319.99,0.65
2006-01-05,JFJ,320.43,0.7
2006-01-06,JFJ,320.21,0.55
2006-01-07,JFJ,320.19,0.61
2006-01-08,JFJ,319.8,0.61
2006-01-09,JFJ,319.72,0.61
2006-01-10,JFJ,319.75,0.45
2006-01-11,JFJ,319.94,0.75
2006-01-12,JFJ,320.07,0.82
2006-01-13,JFJ,320.08,0.76
2006-01-14,JFJ,320.07,0.64
2006-01-15,JFJ,320.05,0.65
2006-01-16,JFJ,320.2,0.9
2006-01-17,JFJ,320.38,0.95
2006-01-18,JFJ,321.54,-999.99
2006-01-19,JFJ,-999999.99,-999.99
