Sample ID,Ice Age (year AD),N2O Age (year AD),N2O (ppb),Uncert (ppb)
DSSW20K 15.8,firn,1996,311.5,0.2
DSSW20K 29,firn,1994,310.2,0.4
DE08-2 0,firn,1993,309.0,0.3
DSSW20K 37.8,firn,1992,308.9,0.1
DE08-2 10,firn,1991,308.1,0.3
DE08-2 15,firn,1991,307.8,1.1
DE08-2 20,firn,1990,307.3,0.2
DSSW20K 41.7,firn,1989,307.0,0.3
DE08-2 30,firn,1989,306.4,0.3
DE08-2 40,firn,1988,305.4,0.2
DE08-2 55,firn,1987,304.7,0.1
DE08-2 60,firn,1986,304.1,0.3
DE08-2 65,firn,1986,303.4,0.3
DE08-2 70,firn,1985,302.8,0.3
DSSW20K 44.5,firn,1983,303.0,0.3
DE08-2 75,firn,1983,301.7,0.1
DE08-2 80,firn,1979,299.8,0.2
DE08-2 012,1948,1979,300,1
DE08-2 003,1945,1976,300,1
DE08-2 85,firn,1976,298.7,0.5
DE08-2 002,1943,1974,297,2
DE08-2 052,1941,1972,299,2
DE08-2 005,1941,1972,298,1
DE08-2 015,1940,1971,297,2
DSSW20K 47,firn,1971,295.4,0.2
DE08 235,1938,1969,293,1
DE08 439,1938,1969,294,3
DE08-2 051,1936,1967,294,2
DE08 440,1936,1967,295,3
DE08 226,1935,1966,293,2
DE08 225,1935,1966,293,1
DE08 339,1933,1964,297,1
DE08 432,1932,1963,291,3
DE08 212,1932,1963,295,1
DE08 391,1930,1961,289,3
DE08 340,1928,1959,296,1
DE08 355,1927,1958,292,1
DSS0506 15,1898,1958,291,1
DE08 416,1926,1957,290,2
DSSW20K 49.5,firn,1957,291.5,0.2
DE08 354,1926,1957,294,1
DE08 415,1926,1957,290,2
DE08 464,1924,1955,290,2
DE08 465,1924,1955,293,1
DE08 236,1923,1954,288,1
DE08 350,1922,1953,288,1
DSS 029,1890,1950,288,1
DE08 314,1919,1950,288,1
DE08 351,1918,1949,289,1
DE08-2 009,1918,1949,289,1
DE08 317,1917,1948,289,1
DE08 352,1914,1945,289,1
DE08 227,1914,1945,288,1
DE08-2 007,1910,1941,290,2
DE08 423,1910,1941,285,2
DE08 240,1908,1939,287,1
DE08 243,1908,1939,288,2
DSS0506 08,1879,1939,286,1
DE08 422,1908,1939,285,2
DE08 300,1907,1938,286,2
DSSW20K 52,firn,1938,288.8,0.2
DE08 418,1906,1937,285,2
DE08 419,1906,1937,286,2
DE08 420,1905,1936,285,2
DE08-2 011,1904,1935,290,2
