Date,Time,Site,N2O_ppb,d15Nbulk_permil,SP_permil,d18O_permil,sd_N2O_ppb,sd_d15Nbulk_permil,sd_SP_permil,sd_d18O_permil,CO_ppb,CH4_ppb,CO2_ppm
1986-11-12,,CapeGrim,304.9,8.0,18.0,44.8,0.1,0.12,0.03,0.04,145,1630.1,344.1
1987-05-28,,CapeGrim,305.5,7.7,17.9,44.8,0.1,0.02,0.18,0.03,86.31,1635,346.1
1989-11-08,,CapeGrim,307.6,7.2,17.4,44.4,0.1,0.26,0.07,0.09,69.74,1664,350.7
1990-02-16,,CapeGrim,307.6,7.7,17.9,44.8,0.1,0.06,0.11,0.12,87.86,1646,353.7
1990-04-26,,CapeGrim,316.3,8.0,17.4,44.8,0.1,0.08,0.03,0.05,67.3,1652.8,351.4
1990-11-15,,CapeGrim,308.3,7.8,18.2,44.6,0.1,0.02,0.01,0.11,93.93,1671,352.3
1995-03-13,,CapeGrim,310.5,8.1,17.9,44.6,0.1,0.04,0.29,0.23,189.3,1684.7,358.3
1995-08-02,,CapeGrim,310.7,7.5,18.2,44.9,0.1,0.05,0.06,0.09,62.28,1707,358.8
1996-03-07,,CapeGrim,311.2,7.6,18.1,44.4,0.1,0.08,0.00,0.06,188.9,1686.3,368.4
1996-05-28,,CapeGrim,311.1,7.6,18.1,44.6,0.1,0.14,0.01,0.19,72.8,1698.5,359.6
1996-08-21,,CapeGrim,311.9,7.7,18.1,44.7,0.1,0.01,0.16,0.02,104.9,1712.7,361.6
1996-11-20,,CapeGrim,312.0,7.8,18.0,44.7,0.1,0.04,0.06,0.00,120.1,1708.1,362.5
1997-01-07,,CapeGrim,312.4,7.7,18.0,44.8,0.1,0.03,0.03,0.12,128.1,1695.5,361.8
1997-03-13,,CapeGrim,313.2,7.6,18.0,44.7,0.1,0.00,0.09,0.04,55.1,1688.1,360.7
1997-04-04,,CapeGrim,311.7,7.6,18.2,44.8,0.1,0.03,0.09,0.03,142.7,1697.8,361
1997-07-15,,CapeGrim,315.2,7.5,18.0,44.5,0.1,0.09,0.08,0.09,87.8,1714.7,362.2
1998-06-25,,CapeGrim,313,7.5,18.2,44.7,0.1,0.01,0.07,0.13,70.66,1720,363.9
1999-08-04,,CapeGrim,314.6,8.0,18.4,44.7,0.1,0.10,0.08,0.09,105.02,1737,367.2
1999-11-16,,CapeGrim,314.8,7.5,17.9,44.8,0.1,0.09,0.18,0.02,72.03,1735,366.7
2000-03-14,,CapeGrim,315.4,7.4,18.1,44.9,0.1,0.10,0.07,0.03,76,1710.1,366.9
2001-01-15,,CapeGrim,318.4,7.3,18.0,44.9,0.1,0.21,0.22,0.17,65.45,1717,367.7
2001-07-19,,CapeGrim,316.3,7.6,18.1,44.7,0.1,0.06,0.10,0.06,70.18,1737,368.6
2002-06-20,,CapeGrim,315.9,7.6,17.8,44.8,0.1,0.03,0.10,0.04,69.9,1731.4,370.4
2004-01-22,,CapeGrim,317.1,7.4,17.7,44.5,0.1,0.06,0.33,0.07,53.45,1718,374
2004-06-17,,CapeGrim,316.9,7.2,17.8,44.6,0.1,0.05,0.10,0.06,75.68,1731,374.9
2005-01-05,,CapeGrim,318.4,7.3,18.5,44.2,0.1,,,,77.8,1740.3,377.9
2005-06-28,,CapeGrim,317.7,7.4,18.3,44.6,0.1,0.03,0.13,0.04,64.52,1733,377
2006-02-10,,CapeGrim,319,7.3,18.2,44.6,0.1,0.04,0.07,0.12,59.3,1712,377.7
2006-10-19,,CapeGrim,319.2,8.0,17.6,44.9,0.1,,,,63.24,1738,379.2
2007-09-21,,CapeGrim,319.9,7.2,18.1,44.5,0.1,0.01,0.04,0.08,68.88,1748,381.6
2008-08-12,,CapeGrim,320.9,7.4,17.9,44.7,0.1,0.05,0.03,0.19,78.7,1753.2,383.7
2009-03-06,,CapeGrim,322.3,7.1,18.2,44.5,0.1,0.06,0.30,0.26,58.75,1724,383.3
2010-12-10,,CapeGrim,324.4,7.2,17.9,44.5,0.1,0.08,0.06,0.03,67.09,1755,387.2
2011-10-31,,CapeGrim,326.3,7.1,18.0,44.3,0.1,0.08,0.07,0.07,99.2,1769,389.2
2011-10-31,,CapeGrim,325,7.0,17.7,44.5,0.1,0.08,0.10,0.16,68.89,1769,388.7
2012-10-05,,CapeGrim,325.2,7.2,18.1,44.6,0.1,0.06,0.08,0.05,74.07,1776,391.3
2013-07-05,,CapeGrim,325.3,7.1,18.2,44.5,0.1,0.08,0.02,0.06,54.3,1772,392.9
2014-05-05,,CapeGrim,333.7,8.2,17.9,44.4,0.1,0.08,0.09,0.02,48.9,1763,394.1
2015-09-22,,CapeGrim,330.3,6.8,17.8,44.4,0.1,0.02,0.03,0.02,96.8,1801.3,399
2016-04-07,,CapeGrim,327.6,6.9,17.8,44.6,0.1,0.00,0.15,0.01,51.63,1779,399.4
2016-04-07,,CapeGrim,327.3,7.0,18.3,44.8,0.1,0.02,0.01,0.01,44.83,1779,399.1
2016-04-07,,CapeGrim,327.3,6.9,17.9,44.3,0.1,0.08,0.34,0.18,44.83,1779,399.1
2017-02-23,,CapeGrim,328.6,7.1,17.8,44.3,0.1,0.08,0.03,0.01,71.1,1778,401.1
2018-07-20,,CapeGrim,330.5,6.9,17.7,44.1,0.1,0.01,0.09,0.14,74.66,1819,405.4
2018-11-07,,CapeGrim,331.5,6.9,17.9,44.6,0.1,0.03,0.05,0.12,71.89,1822,406.1
1979-10-13,,EGRIP,301.515,8.017,18.436,45.123,0.1,0.05,0.31,0.01,155.935,1648.987,342.982
1989-02-12,,EGRIP,308.725,7.645,18.183,44.959,0.1,0.02,0.25,0.24,151.342,1763.795,356.662
1995-07-24,,EGRIP,313.335,7.189,18.327,44.287,0.1,0.03,0.04,0.16,143.07,1811.737,368.378
2004-08-16,,EGRIP,319.061,7.065,18.063,44.449,0.1,0,0,0,135.949,1850.964,381.484
2014-03-04,,EGRIP,328.442,6.848,17.996,44.427,0.1,0.02,0.1,0.06,128.508,1905.129,401.409
2014-10-06,,EGRIP,327.957,6.516,17.905,44.126,0.1,0.03,0.17,0.14,125.518,1908.195,402.348
2015-05-01,,EGRIP,328.388,6.847,18.026,44.51,0.1,0.03,0.18,0.24,126.497,1912.056,402.859
2015-10-28,,EGRIP,329.208,6.797,18.066,44.581,0.1,0.08,0.17,0.14,127.08,1938.441,407.346
2018-04-17,,EGRIP,330.6,6.67,17.78,44.03,0.1,0.09,0.03,0.01,89.847,1914.775,401.243
2014-04-04,09:00:00,JFJ,329.371,7.076,16.696,44.339,0.100,0.015,0.033,0.106,,,
2014-04-07,13:35:00,JFJ,328.400,6.913,17.210,44.035,0.100,0.011,0.079,0.088,,,
2014-04-14,13:30:00,JFJ,328.670,7.110,17.381,44.224,0.100,0.062,0.216,0.056,,,
2014-04-28,14:10:00,JFJ,328.280,6.753,17.309,44.177,0.100,0.043,0.049,0.123,,,
