Date,Site,N2O_ppb,d15Nbulk_permil,sd_d15Nbulk_permil,d18O_permil,sd_d18O_permil,SP_permil,sd_SP_permil
19780426,CapeGrim,299.4,7.31,0.15,45.05,0.24,19.48,1.2
19780707,CapeGrim,299.7,7.4,0.11,44.63,0.17,17.09,1.2
19790206,CapeGrim,303.1,7.14,0.15,44.36,0.24,19.3,0.85
19810520,CapeGrim,303.2,7.44,0.15,45.36,0.24,999999,999999
19840120,CapeGrim,303.9,7.1,0.15,45.01,0.24,16.56,1.2
19840523,CapeGrim,303.8,7.19,0.15,44.89,0.24,20.43,1.2
19860206,CapeGrim,304.9,6.86,0.11,44.53,0.17,19.57,0.85
19861112,CapeGrim,304.9,7.11,0.15,44.95,0.24,17.06,1.2
19870108,CapeGrim,305.5,6.72,0.15,44.53,0.24,22.33,1.2
19870528,CapeGrim,305.8,6.76,0.15,44.79,0.24,20.5,1.2
19880621,CapeGrim,306.1,7.18,0.15,44.62,0.24,999999,999999
19890519,CapeGrim,307.7,6.88,0.15,44.15,0.24,22.5,1.2
19891108,CapeGrim,308.1,6.5,0.15,44.24,0.24,19.6,1.2
19900216,CapeGrim,308.2,6.89,0.15,44.58,0.24,21.27,1.2
19900426,CapeGrim,308.1,6.88,0.15,44.36,0.24,18.55,1.2
19901115,CapeGrim,308.8,6.71,0.15,44.19,0.24,15.54,1.2
19910715,CapeGrim,309.4,6.89,0.15,44.84,0.24,20.81,1.2
19920318,CapeGrim,309.7,6.83,0.15,44.25,0.24,20.32,1.2
19920923,CapeGrim,310.2,6.58,0.16,44.21,0.24,19.01,1.2
19930629,CapeGrim,309.8,6.53,0.15,44.68,0.24,20.12,1.2
19940211,CapeGrim,310.5,6.92,0.15,44.92,0.24,21.73,1.2
19940427,CapeGrim,310.2,6.9,0.15,44.46,0.24,999999,999999
19950313,CapeGrim,310.8,6.66,0.08,44.49,0.12,17.79,0.6
19950613,CapeGrim,311,6.79,0.15,44.5,0.24,21.91,1.2
19951204,CapeGrim,311.7,6.55,0.15,44.8,0.24,17.96,1.2
19960528,CapeGrim,311.6,6.63,0.15,44.57,0.24,18.91,1.2
19961003,CapeGrim,312.3,6.9,0.15,44.25,0.24,22.02,1.2
19961120,CapeGrim,312.7,6.55,0.15,44.22,0.24,18.67,1.2
19970107,CapeGrim,312.9,6.56,0.15,44.18,0.24,18.33,1.2
19970107,CapeGrim,312.7,6.53,0.15,44.23,0.24,17.39,1.2
19970313,CapeGrim,312.6,6.53,0.15,44.53,0.24,19.4,1.2
19970404,CapeGrim,312.1,6.55,0.15,44.39,0.24,16.37,1.2
19970530,CapeGrim,312.6,6.5,0.15,44.48,0.24,21.01,1.2
19970715,CapeGrim,312.9,6.5,0.15,44.92,0.24,22.02,1.2
19980415,CapeGrim,313.4,6.38,0.15,44.6,0.24,19.63,1.2
19980625,CapeGrim,313.5,6.46,0.15,44.59,0.24,19.7,1.2
19981015,CapeGrim,314.3,6.68,0.15,44.43,0.24,21.77,1.2
19990804,CapeGrim,314.6,6.48,0.15,44.24,0.24,20.72,1.2
19991116,CapeGrim,315.1,6.41,0.15,44.95,0.24,19.6,1.2
20000314,CapeGrim,315,6.57,0.15,44.02,0.24,22.34,1.2
20000929,CapeGrim,315.7,6.48,0.15,44.24,0.24,19.39,1.2
20010115,CapeGrim,316.2,6.53,0.15,44.07,0.24,17.5,1.2
20010719,CapeGrim,316.1,6.6,0.15,44.49,0.24,16.91,0.85
20020620,CapeGrim,316.4,6.45,0.15,44.9,0.24,19.06,1.2
20030217,CapeGrim,317,6.21,0.15,44.38,0.24,15.42,1.2
20030521,CapeGrim,317.3,6.6,0.15,44.09,0.24,999999,999999
20040120,CapeGrim,318.3,6.15,0.15,44.17,0.24,999999,999999
20040617,CapeGrim,317.9,6.18,0.15,44.09,0.24,999999,999999
20041201,CapeGrim,318.8,6.43,0.15,43.9,0.24,18.78,1.2
20050210,CapeGrim,318.5,6.64,0.15,44.23,0.24,22.06,1.2
