dt,N2O_ppb,d15Nbulk_permil,SP_permil,d18O_permil,sd_N2O_ppb,sd_d15Nbulk_permil,sd_SP_permil,sd_d18O_permil,n_N2O_ppb,n_d15Nbulk_permil,n_SP_permil,n_d18O_permil
1740.0,273.7187006315067,,,,4.136110878907978,inf,2.0,inf,8.0,,,
1765.0,271.88799913273004,9.25868,,,5.779409779184308,1.6666666666666667,2.0,inf,10.0,1.0,,
1790.0,272.12338216906613,10.3224125,,,4.895392455053273,0.5213197436974255,2.0,inf,20.0,4.0,,
1815.0,271.3502627644398,9.84958,,,4.515987238910582,1.6666666666666667,2.0,inf,13.0,1.0,,
1840.0,272.6986143413196,,,,3.4692863096847972,inf,2.0,inf,24.0,,,
1865.0,275.2481262094514,,,,3.660676621457838,inf,2.0,inf,17.0,,,
1890.0,279.190806151157,9.463057238470379,20.267157428188753,45.6,3.2987022190227644,0.36195970761272267,1.0,10.0,30.0,7.0,1.0,1.0
1915.0,286.74606790689694,9.201563162799834,18.191177093188752,45.39428571428572,2.5912293464291687,0.2865859691483056,0.6022912179993892,0.08797031039051727,41.0,8.0,3.0,3.0
1940.0,288.7362555173067,8.784846946885773,,45.4,2.1538636647961957,0.9357310720833861,2.0,5.0,3.0,3.0,,1.0
1942.0,290.82261326581886,9.184574262514364,16.956046317077643,,0.09897433186107307,inf,0.582035593498168,inf,3.0,1.0,2.0,2.0
1944.0,289.0334796667956,,,,0.5105085478513274,inf,2.0,inf,3.0,,,
1946.0,,,,,5.779409779184308,inf,2.0,inf,,,,
1948.0,289.37977467824743,9.184574262514364,16.767157428188753,45.3,2.3211347733772203,3.3333333333333335,1.6666666666666667,5.0,5.0,1.0,1.0,1.0
1950.0,288.7502195001934,,,,0.0,inf,2.0,inf,2.0,,,
1952.0,290.5926875785451,9.428,14.667157428188752,45.1,1.6923518229397712,1.6666666666666667,2.0,5.0,3.0,1.0,1.0,1.0
1954.0,291.5517972104227,8.827954364872198,19.064144662920462,45.10677966101695,1.6921542524006066,0.18701305204031854,1.091577415180454,0.039550040303654145,5.0,2.0,2.0,2.0
1956.0,291.31085652266603,9.030901670140924,16.832843954188746,45.17111111111111,2.3656995269540246,0.04376601197532567,0.8333333333333334,0.144102158549986,9.0,3.0,1.0,2.0
