dt,N2O_ppb,sd_N2O_ppb
1735,274,2
1746,278.9,2
1756,274.6,2
1766,278.9,2
1774,276.7,2
1780,275.1,2
1785,275.4,2
1790,280.1,2
1795,274.9,2
1799,274.8,2
1804,277.4,2
1809,278.1,2
1814,274.3,2
1818,273.9,2
1826,273.2,2
1832,274,2
1842,274.5,2
1847,274.7,2
1852,275.7,2
1856,277.2,2
1870,276.8,2
1878,277.7,2
1884,279.1,2
1891,279.3,2
1901,279.4,2
1905,282.8,2
1913,278,2
1914,279.9,2
1918,281.2,2
1922,289.9,2
1927,284.9,2
1931,283.6,2
1936,289.5,2
1939,281,2
1944,288.6,2
1952,293.1,2
1956,289.1,2
1961,290.8,2
1964,293.4,2
